Time,Voltage(V),Current(A),Power(W),Energy(J),Batt(%)
0.17,12.0,0.67,8.01,0.06,100.0
0.18,12.0,0.67,8.01,0.13,100.0
0.19,12.0,0.67,8.01,0.19,100.0
0.20,12.0,0.67,8.01,0.26,100.0
0.21,12.0,0.67,8.01,0.32,100.0
0.22,12.0,0.67,8.01,0.38,100.0
0.22,12.0,0.67,8.01,0.45,100.0
0.23,12.0,0.67,8.01,0.51,100.0
0.24,12.0,0.67,8.01,0.58,100.0
0.25,12.0,0.67,8.01,0.64,100.0
0.27,12.0,0.67,8.01,0.70,100.0
0.28,12.0,0.67,8.01,0.77,100.0
0.28,12.0,2.00,24.02,0.96,100.0
0.31,12.0,2.28,27.36,1.18,100.0
0.32,12.0,2.60,31.21,1.43,100.0
0.32,12.0,2.91,34.96,1.71,100.0
0.33,12.0,3.19,38.33,2.02,100.0
0.34,12.0,3.45,41.37,2.35,100.0
0.34,12.0,3.67,44.10,2.70,100.0
0.35,12.0,3.88,46.56,3.07,100.0
0.35,12.0,4.06,48.77,3.46,100.0
0.36,12.0,4.23,50.76,3.87,100.0
0.37,12.0,4.38,52.56,4.29,100.0
0.37,12.0,4.51,54.17,4.72,100.0
0.38,12.0,4.64,55.62,5.17,100.0
0.38,12.0,4.74,56.93,5.62,100.0
0.39,12.0,4.84,58.11,6.09,100.0
0.39,12.0,4.93,59.16,6.56,100.0
0.40,12.0,5.01,60.12,7.04,100.0
0.40,12.0,5.08,60.97,7.53,100.0
0.42,12.0,5.15,61.75,8.02,100.0
0.42,12.0,5.20,62.40,8.52,100.0
0.43,12.0,5.25,63.00,9.03,100.0
0.43,12.0,5.29,63.53,9.53,100.0
0.44,12.0,5.33,64.01,10.05,100.0
0.45,12.0,5.37,64.44,10.56,100.0
0.45,12.0,5.40,64.83,11.08,100.0
0.46,12.0,5.43,65.18,11.60,100.0
0.47,12.0,5.46,65.50,12.13,100.0
0.48,12.0,5.48,65.78,12.65,100.0
0.49,12.0,5.50,66.03,13.18,100.0
0.49,12.0,5.52,66.26,13.71,100.0
0.50,12.0,5.54,66.47,14.24,100.0
0.51,12.0,5.55,66.66,14.78,100.0
0.52,12.0,5.57,66.82,15.31,100.0
0.53,12.0,5.58,66.97,15.85,100.0
0.54,12.0,5.59,67.11,16.38,100.0
0.55,12.0,5.60,67.23,16.92,100.0
0.56,12.0,5.61,67.34,17.46,100.0
0.57,12.0,5.62,67.44,18.00,100.0
0.58,12.0,5.63,67.53,18.54,100.0
0.59,12.0,5.63,67.61,19.08,100.0
0.60,12.0,5.64,67.68,19.62,100.0
0.61,12.0,5.65,67.75,20.16,100.0
0.62,12.0,5.65,67.80,20.71,100.0
0.63,12.0,5.65,67.86,21.25,100.0
0.64,12.0,5.66,67.90,21.79,100.0
0.65,12.0,5.66,67.95,22.34,100.0
0.66,12.0,5.67,67.98,22.88,100.0
0.66,12.0,5.67,68.02,23.42,100.0
0.67,12.0,5.67,68.05,23.97,100.0
0.68,12.0,5.67,68.08,24.51,100.0
0.69,12.0,5.68,68.10,25.06,100.0
0.70,12.0,5.68,68.13,25.60,100.0
0.70,12.0,5.68,68.15,26.15,100.0
0.71,12.0,5.68,68.16,26.69,100.0
0.72,12.0,5.68,68.18,27.24,100.0
0.72,12.0,5.68,68.20,27.78,100.0
0.73,12.0,5.68,68.21,28.33,100.0
0.74,12.0,5.69,68.22,28.88,100.0
0.74,12.0,5.69,68.23,29.42,100.0
0.75,12.0,5.69,68.24,29.97,100.0
0.76,12.0,5.69,68.25,30.51,100.0
0.77,12.0,5.69,68.26,31.06,100.0
0.78,12.0,5.69,68.27,31.61,100.0
0.78,12.0,5.69,68.27,32.15,100.0
0.79,12.0,5.69,68.28,32.70,100.0
0.80,12.0,5.69,68.28,33.24,100.0
0.81,12.0,5.69,68.29,33.79,100.0
0.82,12.0,5.69,68.29,34.34,100.0
0.83,12.0,5.69,68.30,34.88,100.0
0.84,12.0,5.69,68.30,35.43,100.0
0.85,12.0,5.69,68.30,35.98,100.0
0.86,12.0,5.69,68.30,36.52,100.0
0.87,12.0,5.69,68.31,37.07,100.0
0.88,12.0,5.69,68.31,37.62,100.0
0.89,12.0,5.69,68.31,38.16,100.0
0.90,12.0,5.69,68.31,38.71,100.0
0.91,12.0,5.69,68.31,39.26,100.0
0.92,12.0,5.69,68.32,39.80,100.0
0.93,12.0,5.69,68.32,40.35,100.0
0.94,12.0,5.69,68.32,40.89,100.0
0.95,12.0,5.69,68.32,41.44,100.0
0.95,12.0,5.69,68.32,41.99,100.0
0.96,12.0,5.69,68.28,42.53,100.0
0.97,12.0,5.69,68.25,43.08,100.0
0.98,12.0,5.68,68.19,43.63,100.0
0.98,12.0,5.68,68.13,44.17,100.0
0.99,12.0,5.67,68.08,44.72,100.0
1.00,12.0,5.67,68.03,45.26,100.0
1.00,12.0,5.67,67.99,45.80,100.0
1.01,12.0,5.66,67.95,46.35,100.0
1.02,12.0,5.66,67.91,46.89,100.0
1.02,12.0,5.66,67.88,47.43,100.0
1.03,12.0,5.65,67.82,47.98,100.0
1.04,12.0,5.65,67.76,48.52,100.0
1.05,12.0,5.64,67.71,49.06,100.0
1.06,12.0,5.64,67.66,49.60,100.0
1.07,12.0,5.63,67.62,50.14,100.0
1.08,12.0,5.63,67.58,50.68,100.0
1.08,12.0,5.63,67.55,51.22,100.0
1.09,12.0,5.63,67.52,51.76,100.0
1.10,12.0,5.62,67.49,52.30,100.0
1.11,12.0,5.62,67.46,52.84,100.0
1.12,12.0,5.62,67.44,53.38,100.0
1.13,12.0,5.62,67.42,53.92,100.0
1.14,12.0,5.61,67.37,54.46,100.0
1.16,12.0,5.61,67.32,55.00,100.0
1.16,12.0,5.60,67.24,55.54,100.0
1.17,12.0,5.59,67.13,56.07,100.0
1.18,12.0,5.58,66.99,56.61,100.0
1.19,12.0,5.57,66.87,57.15,100.0
1.20,12.0,5.56,66.73,57.68,100.0
1.21,12.0,5.54,66.53,58.21,100.0
1.22,12.0,5.53,66.34,58.74,100.0
1.23,12.0,5.51,66.14,59.27,100.0
1.23,12.0,5.49,65.93,59.80,100.0
1.24,12.0,5.48,65.73,60.32,100.0
1.25,12.0,5.46,65.55,60.85,100.0
1.26,12.0,5.45,65.40,61.37,100.0
1.26,12.0,5.44,65.25,61.89,100.0
1.27,12.0,5.43,65.13,62.41,100.0
1.28,12.0,5.42,65.01,62.94,100.0
1.28,12.0,5.41,64.87,63.45,100.0
1.29,12.0,5.40,64.74,63.97,100.0
1.30,12.0,5.38,64.59,64.49,100.0
1.31,12.0,5.37,64.39,65.00,100.0
1.31,12.0,5.32,63.87,65.51,100.0
1.32,12.0,5.23,62.76,66.02,100.0
1.33,12.0,5.11,61.28,66.51,100.0
1.34,12.0,4.98,59.70,66.98,100.0
1.35,12.0,4.84,58.10,67.45,100.0
1.36,12.0,4.72,56.61,67.90,100.0
1.36,12.0,4.61,55.28,68.34,100.0
1.37,12.0,4.51,54.08,68.78,100.0
1.38,12.0,4.42,53.00,69.20,100.0
1.39,12.0,4.33,51.96,69.62,100.0
1.40,12.0,4.22,50.69,70.02,100.0
1.41,12.0,4.10,49.19,70.42,100.0
1.42,12.0,3.92,47.04,70.79,100.0
1.43,12.0,0.67,8.01,70.86,100.0
1.44,12.0,0.67,8.01,70.92,100.0
1.45,12.0,0.67,8.01,70.98,100.0
1.46,12.0,0.67,8.01,71.05,100.0
1.47,12.0,0.67,8.01,71.11,100.0
1.48,12.0,0.67,8.01,71.18,100.0
1.49,12.0,0.67,8.01,71.24,100.0
1.50,12.0,0.67,8.01,71.30,100.0
1.50,12.0,0.67,8.01,71.37,100.0
1.51,12.0,0.67,8.01,71.43,100.0
1.52,12.0,0.67,8.01,71.50,100.0
1.53,12.0,0.67,8.01,71.56,100.0
1.54,12.0,0.67,8.01,71.63,100.0
1.54,12.0,0.67,8.01,71.69,100.0
1.55,12.0,0.67,8.01,71.75,100.0
1.56,12.0,0.67,8.01,71.82,100.0
1.56,12.0,0.67,8.01,71.88,100.0
1.57,12.0,0.67,8.01,71.95,100.0
1.58,12.0,0.67,8.01,72.01,100.0
1.58,12.0,0.67,8.01,72.07,100.0
1.59,12.0,1.35,16.15,72.20,100.0
1.60,12.0,1.47,17.69,72.34,100.0
1.61,12.0,2.29,27.49,72.56,100.0
1.62,12.0,2.53,30.38,72.81,100.0
1.63,12.0,2.12,25.39,73.01,100.0
1.64,12.0,2.31,27.75,73.23,100.0
1.65,12.0,2.49,29.87,73.47,100.0
1.66,12.0,2.65,31.80,73.73,100.0
1.66,12.0,2.79,33.53,73.99,100.0
1.67,12.0,2.92,35.08,74.27,100.0
1.69,12.0,3.04,36.48,74.57,100.0
1.70,12.0,3.14,37.73,74.87,100.0
1.71,12.0,3.24,38.87,75.18,100.0
1.72,12.0,3.33,39.90,75.50,100.0
1.73,12.0,3.40,40.83,75.83,100.0
1.74,12.0,3.47,41.66,76.16,100.0
1.74,12.0,3.53,42.41,76.50,100.0
1.75,12.0,3.59,43.08,76.84,100.0
1.76,12.0,3.64,43.69,77.19,100.0
1.77,12.0,3.68,44.22,77.55,100.0
1.78,12.0,3.73,44.71,77.90,100.0
1.79,12.0,3.76,45.14,78.26,100.0
1.79,12.0,4.43,53.16,78.69,100.0
1.80,12.0,4.47,53.70,79.12,100.0
1.81,12.0,4.51,54.18,79.55,100.0
1.81,12.0,4.55,54.65,79.99,100.0
1.82,12.0,4.59,55.07,80.43,100.0
1.83,12.0,4.62,55.46,80.87,100.0
1.83,12.0,4.65,55.84,81.32,100.0
1.84,12.0,4.68,56.18,81.77,100.0
1.85,12.0,4.71,56.49,82.22,100.0
1.86,12.0,4.73,56.80,82.68,100.0
1.87,12.0,4.76,57.08,83.13,100.0
1.87,12.0,4.78,57.37,83.59,100.0
1.88,12.0,4.80,57.63,84.05,100.0
1.89,12.0,4.83,57.90,84.52,100.0
1.90,12.0,4.85,58.15,84.98,100.0
1.91,12.0,4.86,58.37,85.45,100.0
1.92,12.0,4.88,58.60,85.92,100.0
1.93,12.0,4.90,58.81,86.39,100.0
1.94,12.0,4.92,59.04,86.86,100.0
1.95,12.0,4.94,59.28,87.33,100.0
1.96,12.0,4.96,59.56,87.81,100.0
1.97,12.0,4.99,59.82,88.29,100.0
1.98,12.0,5.01,60.09,88.77,100.0
1.99,12.0,5.03,60.34,89.25,100.0
2.00,12.0,5.05,60.59,89.74,100.0
2.01,12.0,5.07,60.86,90.22,100.0
2.02,12.0,5.09,61.13,90.71,100.0
2.03,12.0,5.12,61.49,91.21,100.0
2.04,12.0,5.15,61.81,91.70,100.0
2.05,12.0,5.18,62.17,92.20,100.0
2.05,12.0,5.21,62.53,92.70,100.0
2.06,12.0,5.24,62.86,93.20,100.0
2.07,12.0,5.27,63.19,93.71,100.0
